"ITERATION","YEN","YEN_VAL","YEN_PRICE","USD","USD_VAL","USD_PRICE","YUAN","YUAN_VAL","YUAN_PRICE","EUR","EUR_VAL","MEAN","MEAN_THRESHOLD",
"139","446508,38","2,2395973","6963,053","893401,56","1,1193167","965473,94","678193,44","1,4745046","135871,31","1195468,4","1","575944,1","287972,06",
"140","446508,38","2,2395973","6963,053","893401,56","1,1193167","965473,94","678193,44","1,4745046","135871,31","1195468,4","1","575944,1","287972,06",
"141","446508,38","1,3083482","4067,7395","893401,56","1,0382876","895581,75","598394,44","1,1381916","92540,32","1213224,5","1","551353,56","275676,78",
"142","446508,38","1,3083482","4067,7395","893401,56","1,0382875","895581,6","598394,44","1,1866903","96483,49","1213224,5","1","552339,4","276169,7",
"143","446508,38","1,3083482","4067,7395","915526,9","1,0382875","917760,94","598394,44","1,1866903","96483,49","1191566,1","1","552469,56","276234,78",
"144","446508,38","1,3083482","4067,7395","915526,9","1,0298553","910307,56","598394,44","1,1866903","96483,49","1191566,1","1","550606,25","275303,13",
"145","446508,38","1,3083482","4067,7395","915526,9","1,0298553","910307,56","527293,94","1,1866903","85019,445","1203431,3","1","550706,5","275353,25",
"146","446508,38","1,3083482","4067,7395","915526,9","1,0298553","910307,56","527293,94","1,2377957","88680,85","1203431,3","1","551621,9","275810,94",
"147","438224,3","1,3083482","3992,2708","915526,9","1,0298553","910307,56","527293,94","1,2377957","88680,85","1203513,6","1","551623,56","275811,78",
"148","438224,3","1,316541","4017,27","915526,9","1,0298553","910307,56","527293,94","1,2377957","88680,85","1203513,6","1","551629,8","275814,9",
"149","438224,3","2,281934","6963,053","915526,9","1,0922663","965473,8","527293,94","1,8964742","135871,33","1203513,6","1","577955,5","288977,75",
"150","438224,3","1,316541","4017,27","915526,9","1,0298553","910307,56","594684,5","1,2377957","100014,664","1187691,3","1","550507,7","275253,84",
"151","438224,3","1,316541","4017,27","915526,9","1,0298553","910307,56","594684,5","1,189153","96084,3","1187691,3","1","549525,1","274762,56",
"152","438224,3","2,281934","6963,053","915526,9","1,0922663","965473,8","594684,5","1,6815629","135871,33","1187691,3","1","573999,9","286999,94",
"153","438224,3","2,281934","6963,053","915526,9","1,0922663","965473,8","594684,5","1,6815629","135871,33","1187691,3","1","573999,9","286999,94",
"154","438224,3","2,281934","6963,053","915526,9","1,0922663","965473,8","594684,5","1,6815629","135871,33","1187691,3","1","573999,9","286999,94",
"155","350151,6","1,316541","3209,8938","915526,9","1,0298553","910307,56","594684,5","1,189153","96084,3","1189150,4","1","549688","274844",
"156","437396,63","1,3173709","4012,21","915167,4","1,0299901","910069,2","594684,5","1,189153","96084,3","1188803,3","1","549742,25","274871,13",
"157","437396,63","2,2862523","6963,0537","915167,4","1,0926952","965473,6","594684,5","1,6815629","135871,33","1188803,3","1","574277,8","287138,9",
"158","372069,63","1,3173709","3412,97","915167,4","1,0299901","910069,2","594684,5","1,189153","96084,3","1189907,5","1","549868,5","274934,25",
"159","406937,4","1,3494517","3823,7117","915167,4","1,0299901","910069,2","594684,5","1,189153","96084,3","1189713","1","549922,56","274961,28",
"160","406937,4","2,457378","6963,0537","915167,4","1,0926952","965473,6","594684,5","1,6815629","135871,33","1189713","1","574505,25","287252,63",
"161","406937,4","2,457378","6963,0537","915167,4","1,0926952","965473,6","594684,5","1,6815629","135871,33","1189713","1","574505,25","287252,63",
"162","406937,4","1,3494517","3823,7117","915167,4","1,0299901","910069,2","689381,75","1,189153","111384,72","1169919,6","1","548799,3","274399,66",
"163","406937,4","1,3494517","3823,7117","915167,4","1,0299901","910069,2","689381,75","1,1320006","106031,4","1169919,6","1","547461","273730,5",
"164","406937,4","1,3494517","3823,7117","915167,4","1,0299901","910069,2","689381,75","1,1320006","106031,4","1170456,9","1","547595,25","273797,63",
"165","406937,4","1,3494517","3823,7117","915167,4","1,02999","910069,06","689381,75","1,1320006","106031,4","1170456,9","1","547595,25","273797,63",
"166","406937,4","1,3494517","3823,7117","915167,4","1,02999","910069,06","769329,56","1,1320006","118327,9","1158881","1","547775,4","273887,7",
"167","406937,4","1,3494517","3823,7117","915167,4","1,02999","910069,06","769329,56","1,0913459","114078,27","1158881","1","546713","273356,5",
"168","406937,4","2,457378","6963,0537","915167,4","1,0926951","965473,56","769329,56","1,2998322","135871,33","1158881","1","566797,25","283398,63",
"169","406937,4","2,457378","6963,0537","915167,4","1,0926951","965473,56","769329,56","1,2998322","135871,33","1158881","1","566797,25","283398,63",
"170","406937,4","2,457378","6963,0537","915167,4","1,0926951","965473,56","769329,56","1,2998322","135871,33","1158881","1","566797,25","283398,63",
"171","406937,4","1,3494517","3823,7117","915167,4","1,02999","910069,06","682884,44","1,0913459","101259,95","1175197,6","1","547587,56","273793,78",
"172","406937,4","1,3494515","3823,7112","915167,4","1,02999","910069,06","682884,44","1,1355795","105364,14","1175197,6","1","548613,6","274306,8",
"173","406937,4","2,4573777","6963,0527","915167,4","1,0926951","965473,56","682884,44","1,4643757","135871,33","1175197,6","1","570876,4","285438,2",
"174","406937,4","1,3494515","3823,7112","915167,4","1,02999","910069,06","682884,44","1,1355795","105364,14","1183986","1","550810,75","275405,38",
"175","406937,4","1,3494515","3823,7112","915167,4","1,02999","910069,06","682884,44","1,1355795","105364,14","1183986","1","550810,75","275405,38",
"176","406937,4","2,4573777","6963,0527","915167,4","1,0926949","965473,3","682884,44","1,4643757","135871,33","1183986","1","573073,44","286536,72",
"177","406937,4","2,4573777","6963,0527","915167,4","1,0926949","965473,3","682884,44","1,4643757","135871,33","1183986","1","573073,44","286536,72",
"178","406937,4","2,4573777","6963,0527","915167,4","1,0926949","965473,3","682884,44","1,4643757","135871,33","1183986","1","573073,44","286536,72",
"179","406937,4","1,3494515","3823,7112","1010496,75","1,02999","1004867,4","682884,44","1,1355795","105364,14","1086221,3","1","550069,1","275034,56",
"180","406937,4","1,3494515","3823,7112","1010496,75","0,989611","965473,4","682884,44","1,1355795","105364,14","1086221,3","1","540220,6","270110,3",
"181","406937,4","1,3494515","3823,7112","1010496,75","0,989611","965473,4","682884,44","1,1355795","105364,14","1090204,9","1","541216,5","270608,25",
"182","406937,4","1,3494515","3823,7112","1010496,75","0,989611","965473,4","682884,44","1,1355793","105364,125","1090204,9","1","541216,5","270608,25",
"183","409244,06","1,3494515","3845,385","1010496,75","0,989611","965473,4","682884,44","1,1355793","105364,125","1090185","1","541217","270608,5",
"184","409244,06","1,3469114","3838,147","1010496,75","0,989611","965473,4","682884,44","1,1355793","105364,125","1090185","1","541215,1","270607,56",
"185","409244,06","1,3469114","3838,147","1010496,75","0,989611","965473,4","682884,44","1,1355793","105364,125","1092018,9","1","541673,6","270836,8",
"186","409244,06","1,3469114","3838,147","1010496,75","0,989611","965473,4","682884,44","1,1355793","105364,125","1092018,9","1","541673,6","270836,8",
"187","409244,06","2,4435265","6963,052","1010496,75","0,989611","965473,4","682884,44","1,4643755","135871,31","1092018,9","1","550081,6","275040,8",
"188","409244,06","2,4435265","6963,052","1010496,75","0,989611","965473,4","682884,44","1,4643755","135871,31","1092018,9","1","550081,6","275040,8",
"189","409244,06","2,4435265","6963,052","1010496,75","0,989611","965473,4","682884,44","1,4643755","135871,31","1092018,9","1","550081,6","275040,8",
"190","409244,06","1,3469114","3838,147","1010496,75","0,989611","965473,4","654732","1,1355793","101020,414","1098051,1","1","542095,75","271047,88",
"191","409244,06","1,3469114","3838,147","1010496,75","0,9896109","965473,25","654732","1,1516275","102448,05","1098051,1","1","542452,6","271226,3",
"192","409244,06","2,4435265","6963,052","1010496,75","0,9896109","965473,25","654732","1,5273414","135871,31","1098051,1","1","551589,7","275794,84",
"193","409244,06","2,4435265","6963,052","1010496,75","0,9896109","965473,25","654732","1,5273414","135871,31","1098051,1","1","551589,7","275794,84",
"194","409244,06","2,4435265","6963,052","1010496,75","0,9896109","965473,25","654732","1,5273414","135871,31","1098051,1","1","551589,7","275794,84",
"195","353082,1","1,3469114","3311,425","1010496,75","0,9896109","965473,25","654732","1,1516275","102448,05","1099086,8","1","542579,9","271289,94",
"196","434255,38","1,3205396","3992,977","1010158,4","0,98994243","965473,25","654732","1,1516275","102448,05","1098760","1","542668,56","271334,28",
"197","342696,2","1,3205396","3151,0906","1010158,4","0,98994243","965473,25","654732","1,1516275","102448,05","1099642,4","1","542678,7","271339,34",
